Comparing: e1-dos, e1, W, D, e2

File                                              e1-dos              e1               W               D              e2
ACTIONS/000119.FAN                                    25               -               -               -               -
ACTIONS/000120.FAN                                    25               -               -               -               -
ACTIONS/000121.FAN                                    25               -               -               -               -
ACTIONS/000122.FAN                                    25               -               -               -               -
ACTIONS/000123.FAN                                    25               -               -               -               -
ACTIONS/000124.FAN                                    23               -               -               -               -
ACTIONS/000125.FAN                                    23               -               -               -               -
ACTIONS/000126.FAN                                    23               -               -               -               -
ACTIONS/000127.FAN                                    25               -               -               -               -
ACTIONS/000128.FAN                                    23               -               -               -               -
ACTIONS/000129.FAN                                    23               -               -               -               -
ACTIONS/000130.FAN                                    23               -               -               -               -
ACTIONS/000131.FAN                                    23               -               -               -               -
ACTIONS/000132.FAN                                    23               -               -               -               -
ACTIONS/000133.FAN                                    23               -               -               -               -
ACTIONS/000134.FAN                                    23               -               -               -               -
ACTIONS/000135.FAN                                    23               -               -               -               -
ACTIONS/000136.FAN                                    23               -               -               -               -
ACTIONS/000137.FAN                                    23               -               -               -               -
ACTIONS/000138.FAN                                    23               -               -               -               -
ACTIONS/000139.FAN                                    23               -               -               -               -
ACTIONS/000140.FAN                                    23               -               -               -               -
ACTIONS/000141.FAN                                    24               -               -               -               -
ACTIONS/000142.FAN                                    24               -               -               -               -
ACTIONS/000143.FAN                                    24               -               -               -               -
ACTIONS/000144.FAN                                    24               -               -               -               -
ACTIONS/000145.FAN                                    23               -               -               -               -
ACTIONS/000146.FAN                                    24               -               -               -               -
ACTIONS/000147.FAN                                    24               -               -               -               -
ACTIONS/000148.FAN                                    24               -               -               -               -
ACTIONS/000149.FAN                                    23               -               -               -               -
ACTIONS/000150.FAN                                    25               -               -               -               -
ACTIONS/000151.FAN                                    24               -               -               -               -
ACTIONS/000152.FAN                                    25               -               -               -               -
ACTIONS/000153.FAN                                    23               -               -               -               -
ACTIONS/000154.FAN                                    23               -               -               -               -
ACTIONS/000155.FAN                                    24               -               -               -               -
ACTIONS/000156.FAN                                    24               -               -               -               -
ACTIONS/000157.FAN                                    24               -               -               -               -
ACTIONS/000158.FAN                                    23               -               -               -               -
ACTIONS/000159.FAN                                    23               -               -               -               -
ACTIONS/000160.FAN                                    23               -               -               -               -
ACTIONS/000161.FAN                                    23               -               -               -               -
ACTIONS/000162.FAN                                    23               -               -               -               -
ACTIONS/000163.FAN                                    23               -               -               -               -
ACTIONS/000164.FAN                                    23               -               -               -               -
ACTIONS/000165.FAN                              27/nns=0               -               -               -               -
ACTIONS/000166.FAN                              27/nns=0               -               -               -               -
ACTIONS/000167.FAN                                    23               -               -               -               -
ACTIONS/000168.FAN                                    24               -               -               -               -
ACTIONS/000169.FAN                              27/nns=0               -               -               -               -
ACTIONS/000170.FAN                                    24               -               -               -               -
ACTIONS/000171.FAN                                    25               -               -               -               -
ACTIONS/000172.FAN                                    23               -               -               -               -
ACTIONS/000173.FAN                                    24               -               -               -               -
ACTIONS/000174.FAN                                    24               -               -               -               -
ACTIONS/000175.FAN                                    24               -               -               -               -
ACTIONS/000176.FAN                                    24               -               -               -               -
ACTIONS/000177.FAN                                    24               -               -               -               -
ACTIONS/000178.FAN                                    24               -               -               -               -
ACTIONS/000179.FAN                                    24               -               -               -               -
ACTIONS/000180.FAN                                    24               -               -               -               -
ACTIONS/000181.FAN                                    23               -               -               -               -
ACTIONS/000182.FAN                                    24               -               -               -               -
ACTIONS/000183.FAN                                    23               -               -               -               -
ACTIONS/000184.FAN                                    24               -               -               -               -
ACTIONS/000185.FAN                                    24               -               -               -               -
ACTIONS/000186.FAN                                    25               -               -               -               -
ACTIONS/000187.FAN                              27/nns=0               -               -               -               -
ACTIONS/000188.FAN                                    23               -               -               -               -
ACTIONS/000189.FAN                                    23               -               -               -               -
ACTIONS/000190.FAN                                    23               -               -               -               -
