Scanning 2774 .FAN files in data/e1-dos/

File                                                Ver  NNS Internal Name                 
SCENES/DOLMEN.FAN                                    23    - dolmen                        
SCENES/DOOR1.FAN                                     20    - -                             
SCENES/DOOR1_OP.FAN                                  14    - -                             
SCENES/DOOR1_RC.FAN                                   8    - -                             
SCENES/DOORMON.FAN                                   26    0 doormon                       
SCENES/DOOROPEN.FAN                                  26    0 dooropen                      
SCENES/DOORSHOP.FAN                                  19    - -                             
SCENES/DOOR_BK.FAN                                   25    - door_bk                       
SCENES/DOOR_BR.FAN                                   10    - -                             
SCENES/DOOR_C.FAN                                     8    - -                             
SCENES/DOOR_CL.FAN                                    8    - -                             
SCENES/DOOR_KN.FAN                                    8    - -                             
SCENES/DOOR_M.FAN                                     8    - -                             
SCENES/DOOR_PB.FAN                                    8    - -                             
SCENES/DOOR_ST.FAN                                    8    - -                             
SCENES/DOOR_SW.FAN                                   25    - door_sw                       
SCENES/DOOR_SW1.FAN                                  24    - door_sw1                      
SCENES/DOOR_WCH.FAN                                  24    - door_wch                      
SCENES/DORM.FAN                                      27    0 dorm                          
SCENES/DORMO.FAN                                     19    - -                             
SCENES/DOR_CL2.FAN                                   25    - dor_cl2                       
SCENES/DOR_CL3.FAN                                   25    - dor_cl3                       
SCENES/DOR_CL4.FAN                                   10    - -                             
SCENES/DOR_CL5.FAN                                   25    - dor_cl5                       
SCENES/DOWN2_LA.FAN                                  24    - down2_ladder                  
SCENES/DOWN_CHU.FAN                                  24    - down_church                   
SCENES/DOWN_LAD.FAN                                  24    - down_ladder                   
SCENES/DOWN_ROF.FAN                                  24    - down_rof                      
SCENES/DRAGON1.FAN                                   26    0 dragon1                       
SCENES/DRAGON11.FAN                                  26    0 dragon11                      
SCENES/DRUID.FAN                                     25    - druid                         
SCENES/DRUID2.FAN                                    25    - druid2                        
SCENES/D_O.FAN                                       24    - d_o                           
SCENES/EDGE.FAN                                      21    - -                             
SCENES/EDGE1.FAN                                     21    - -                             
SCENES/EDGE10.FAN                                    21    - -                             
SCENES/EDGE11.FAN                                    21    - -                             
SCENES/EDGE14.FAN                                    21    - -                             
SCENES/EDGE16.FAN                                    21    - -                             
SCENES/EDGE2.FAN                                     21    - -                             
SCENES/EDGE3.FAN                                     21    - -                             
SCENES/EDGE4.FAN                                     21    - -                             
SCENES/EDGE6.FAN                                     21    - -                             
SCENES/EDGE7.FAN                                     21    - -                             
SCENES/EDGE8.FAN                                     21    - -                             
